"","samples","raw_seqs","prefiltered_seqs","adaptorremoved_seqs","primerremoved_seqs","fractionOfRawDataInFinal_seqs"
"181","Pa-SI-20_1.fastq.gz",4090,4064,4064,4064,0.993643031784841
"182","Pa-SI-20_2.fastq.gz",4090,4064,4064,4064,0.993643031784841
"183","Pa-SJ-01_1.fastq.gz",2153,2130,2130,2130,0.989317231769624
"184","Pa-SJ-01_2.fastq.gz",2153,2130,2130,2130,0.989317231769624
"185","Pa-SS-01_1.fastq.gz",2019,1997,1997,1997,0.989103516592373
"186","Pa-SS-01_2.fastq.gz",2019,1997,1997,1997,0.989103516592373
"187","Pa-TPT-01_1.fastq.gz",6209,6151,6151,6151,0.990658721211145
"188","Pa-TPT-01_2.fastq.gz",6209,6151,6151,6151,0.990658721211145
"189","Pa-TPT-02_1.fastq.gz",3048,3019,3019,3019,0.990485564304462
"190","Pa-TPT-02_2.fastq.gz",3048,3019,3019,3019,0.990485564304462
"191","Pa-TPT-03_1.fastq.gz",562,538,538,538,0.95729537366548
"192","Pa-TPT-03_2.fastq.gz",562,538,538,538,0.95729537366548
"193","Pa-TPT-04_1.fastq.gz",4174,4150,4150,4150,0.994250119789171
"194","Pa-TPT-04_2.fastq.gz",4174,4150,4150,4150,0.994250119789171
"195","Pa-TPT-11_1.fastq.gz",10537,10495,10495,10495,0.99601404574357
"196","Pa-TPT-11_2.fastq.gz",10537,10495,10495,10495,0.99601404574357
"197","Pa-TPT-12_1.fastq.gz",6644,6613,6613,6613,0.995334136062613
"198","Pa-TPT-12_2.fastq.gz",6644,6613,6613,6613,0.995334136062613
"199","Pa-TPT-13_1.fastq.gz",3405,3397,3397,3397,0.997650513950073
"200","Pa-TPT-13_2.fastq.gz",3405,3397,3397,3397,0.997650513950073
"201","Pa-TPT-14_1.fastq.gz",6830,6773,6773,6773,0.991654465592972
"202","Pa-TPT-14_2.fastq.gz",6830,6773,6773,6773,0.991654465592972
"203","Pa-TPT-15_1.fastq.gz",2496,2466,2466,2466,0.987980769230769
"204","Pa-TPT-15_2.fastq.gz",2496,2466,2466,2466,0.987980769230769
"205","Pa-TPT-16_1.fastq.gz",4760,4731,4731,4731,0.99390756302521
"206","Pa-TPT-16_2.fastq.gz",4760,4731,4731,4731,0.99390756302521
