,Adaptor and Primer Removal,,,,,,Filtering,,,,,,,,,,,
,samples,raw_seqs,prefiltered_seqs,adaptorremoved_seqs,primerremoved_seqs,fractionOfRawDataInFinal_seqs,input,filtered,nonchim,total.loss.proportion,beforeLengthFilter,beforeDecontam,afterDecontam,fungiOnly,nonEmpty,afterPrevFilter,afterLocationFilter_Final,Final Fraction Remaining
117,SIS-Po-10_1.fastq.gz,67527,67442,67442,67442,0.998741244,67442,58999,58999,0.125189051,58999,58999,58999,58999,58999,21642,21642,0.320494025
118,SIS-Po-11_1.fastq.gz,54418,54342,54342,54342,0.998603403,54342,47293,47293,0.129715506,47293,47293,47293,47293,47293,19199,19199,0.352806057
119,SIS-Po-12_1.fastq.gz,57932,57862,57862,57862,0.998791687,57862,48523,45521,0.161401265,45521,45521,45521,45521,45521,44525,44525,0.7685735
120,SIS-Po-13_1.fastq.gz,14945,14914,14914,14914,0.997925728,14914,13061,13004,0.124245675,13004,13004,13004,13004,13004,12823,12823,0.858012713
121,SIS-Po-14_1.fastq.gz,63923,63844,63844,63844,0.998764138,63844,56503,54467,0.114983397,54467,54467,54467,54467,54467,53300,53300,0.833815684
122,SIS-Po-15_1.fastq.gz,47395,47335,47335,47335,0.998734044,47335,41993,40858,0.112855181,40858,40858,40858,40858,40858,39986,39986,0.843675493
123,SIS-Po-16_1.fastq.gz,85248,85170,85170,85170,0.999085023,85170,75315,75315,0.115709757,75315,75315,75315,75315,75315,75315,75315,0.883481137
124,SIS-Po-17_1.fastq.gz,57641,57592,57592,57592,0.999149911,57592,50743,50743,0.118922767,50743,50743,50743,50743,50743,50743,50743,0.880328239
125,SIS-Po-18_1.fastq.gz,44885,44814,44814,44814,0.99841818,44814,38007,35964,0.151894497,35964,35964,35964,35927,35927,29754,29754,0.662894063
126,SIS-Po-19_1.fastq.gz,101001,100908,100908,100908,0.999079217,100908,87566,87566,0.132219447,87566,87566,87566,87566,87566,87532,87532,0.866644885
127,SIS-Po-20_1.fastq.gz,49311,49248,49248,49248,0.998722395,49248,42830,42830,0.130320013,42830,42830,42830,42830,42830,42227,42227,0.85634037
128,SS-Po-01A_1.fastq.gz,54297,54242,54242,54242,0.998987053,54242,47273,47273,0.128479776,47273,47273,47273,47273,47273,47261,47261,0.870416413
129,SS-Po-02A_1.fastq.gz,50923,50854,50854,50854,0.998645013,50854,43703,43703,0.14061824,43703,43703,43703,43702,43702,43441,43441,0.853072286
130,SS-Po-03A_1.fastq.gz,40830,40781,40781,40781,0.998799902,40781,35196,35196,0.136951031,35196,35196,35196,35196,35196,35196,35196,0.862013226
131,SS-Po-04A_1.fastq.gz,46456,46400,46400,46400,0.998794558,46400,40528,40517,0.126551724,40517,40517,40517,40517,40517,40190,40190,0.865119683
132,SS-Po-05A_1.fastq.gz,21196,21171,21171,21171,0.998820532,21171,18447,18447,0.128666572,18447,18447,18447,18447,18447,18045,18045,0.851339875
133,SS-Po-06A_1.fastq.gz,67529,67462,67462,67462,0.999007834,67462,58154,46359,0.137973971,46359,46359,46359,46359,46359,45726,45726,0.677131307
